melhor;pior;media;mediana
1.664257e+00;7.662423e+00;5.393494e+00;5.620184e+00
1.625248e+00;9.870214e+00;5.466127e+00;5.499734e+00
3.981271e-01;1.237282e+01;5.874386e+00;5.987356e+00
7.585225e-02;1.241673e+01;4.388434e+00;4.342590e+00
7.585225e-02;8.984178e+00;2.384635e+00;1.644752e+00
6.857900e-02;4.666493e+00;6.548640e-01;3.331096e-01
5.127536e-02;4.595823e+00;4.367232e-01;1.776505e-01
4.107603e-02;2.865784e+00;2.523088e-01;8.970375e-02
2.492006e-02;5.486479e+00;3.251618e-01;8.159043e-02
2.148589e-02;5.130423e+00;3.128519e-01;8.176707e-02
2.070547e-02;4.451127e+00;1.830911e-01;6.574304e-02
7.139267e-03;4.584076e+00;2.094418e-01;6.145339e-02
7.139267e-03;2.623711e+00;1.248617e-01;5.093957e-02
3.460392e-03;3.786723e+00;1.082257e-01;3.652937e-02
2.850797e-03;4.151093e+00;7.184483e-02;2.605273e-02
1.498638e-03;2.884176e+00;4.491913e-02;7.778914e-03
1.400182e-03;4.599835e+00;1.196676e-01;5.742222e-03
1.400182e-03;4.080230e+00;1.027029e-01;4.232296e-03
9.947587e-04;4.604390e+00;1.940892e-01;3.564077e-03
3.650358e-04;2.106277e-02;3.557897e-03;2.835902e-03
3.650358e-04;4.571034e+00;9.820891e-02;2.131100e-03
1.250697e-04;2.472074e+00;6.551578e-02;1.576373e-03
1.250697e-04;4.604810e+00;4.768509e-02;1.350342e-03
7.888874e-05;4.592789e+00;9.773182e-02;8.221132e-04
7.888874e-05;2.065780e+00;2.120653e-02;3.763316e-04
2.749182e-05;2.507827e-03;4.162568e-04;2.780746e-04
2.749182e-05;2.572436e+00;7.487120e-02;2.128139e-04
2.633919e-05;4.456254e+00;1.327803e-01;1.546557e-04
1.843729e-05;2.957975e-04;9.073654e-05;7.738173e-05
1.202073e-05;4.464309e+00;8.174788e-02;3.573637e-05
9.061301e-06;4.461897e+00;1.611454e-01;3.932077e-05
5.583373e-06;2.543957e+00;5.796314e-02;3.567333e-05
5.583373e-06;4.097895e+00;1.274528e-01;2.640679e-05
3.976480e-06;4.413252e+00;4.414928e-02;1.280865e-05
3.586020e-06;2.366607e+00;4.492913e-02;1.092871e-05
1.761302e-06;4.599825e+00;1.605959e-01;1.196667e-05
1.129086e-06;5.778735e+00;1.458500e-01;9.840514e-06
6.519605e-07;2.981043e+00;7.475337e-02;7.168967e-06
6.519605e-07;4.128578e+00;8.851843e-02;4.219522e-06
5.693015e-07;3.509847e+00;8.437867e-02;3.220623e-06
4.732860e-07;4.166878e+00;5.612451e-02;2.286076e-06
3.539855e-07;4.486999e+00;1.303967e-01;9.365963e-07
2.648108e-07;4.167837e+00;5.903346e-02;7.407372e-07
2.627569e-07;4.502010e+00;6.730491e-02;7.205256e-07
8.964643e-08;4.577767e+00;7.840170e-02;6.848375e-07
8.964643e-08;4.503261e+00;4.503316e-02;4.196649e-07
8.964643e-08;3.542229e+00;6.681493e-02;3.086824e-07
4.727229e-08;4.120238e+00;4.120268e-02;2.347558e-07
2.601224e-08;4.533995e+00;1.022706e-01;1.976649e-07
2.010975e-08;3.555658e+00;6.557071e-02;1.513379e-07
1.956214e-08;4.589111e+00;1.375905e-01;8.283528e-08
6.236946e-09;3.947154e+00;5.630953e-02;6.880434e-08
6.236946e-09;4.602147e+00;6.953918e-02;5.107460e-08
2.177729e-09;4.567907e+00;9.318891e-02;2.842146e-08
2.177729e-09;4.098002e+00;7.344784e-02;1.282870e-08
9.822760e-10;2.175178e+00;2.175179e-02;6.704948e-09
9.822760e-10;4.538907e+00;4.538908e-02;4.192515e-09
6.710335e-10;1.390013e+00;1.838846e-02;3.817379e-09
4.835141e-10;1.711286e+00;1.711286e-02;2.415945e-09
4.541296e-10;4.345164e+00;1.297727e-01;2.078556e-09
4.541296e-10;4.602047e+00;8.152097e-02;1.522305e-09
1.887881e-10;8.124559e-09;1.451260e-09;1.128650e-09
1.742539e-10;4.091897e+00;1.007871e-01;7.687455e-10
1.434057e-10;3.480478e+00;6.680393e-02;6.196879e-10
9.291456e-11;4.160814e+00;4.160814e-02;5.027307e-10
4.691048e-11;4.510956e+00;1.077662e-01;3.277880e-10
4.593348e-11;4.182000e+00;1.257395e-01;2.299481e-10
4.593348e-11;2.195252e+00;2.195252e-02;2.236900e-10
1.873035e-11;4.574930e+00;9.189336e-02;1.815317e-10
1.851719e-11;4.379098e+00;4.379098e-02;1.216169e-10
1.396616e-11;3.198920e+00;3.198920e-02;7.793099e-11
7.883916e-12;2.122421e+00;2.122421e-02;5.024114e-11
7.326140e-12;4.586832e+00;8.748480e-02;3.223599e-11
5.556888e-12;4.128190e+00;1.321654e-01;2.366862e-11
1.325606e-12;4.603912e+00;1.184601e-01;2.140910e-11
1.325606e-12;4.285203e+00;1.065059e-01;1.218092e-11
7.962520e-13;4.143741e+00;4.143741e-02;5.436096e-12
4.765077e-13;4.312143e+00;4.312143e-02;2.654321e-12
4.765077e-13;4.582926e+00;1.554762e-01;1.954437e-12
1.851852e-13;3.682715e+00;1.562869e-01;1.519229e-12
8.926193e-14;4.505039e+00;1.337261e-01;1.048495e-12
6.439294e-14;2.142729e+00;2.196428e-02;5.706546e-13
6.439294e-14;4.493985e+00;1.646505e-01;2.526868e-13
3.241851e-14;4.451213e+00;1.943337e-01;1.709743e-13
3.241851e-14;4.463508e+00;1.260337e-01;1.514344e-13
1.820766e-14;4.600867e+00;7.571870e-02;1.159073e-13
1.820766e-14;4.542146e+00;1.084509e-01;8.926193e-14
1.465494e-14;4.275089e+00;1.314487e-01;6.439294e-14
7.549517e-15;4.031901e+00;4.031901e-02;5.728751e-14
3.996803e-15;4.503316e+00;6.945405e-02;3.952394e-14
3.996803e-15;2.845272e+00;7.085884e-02;2.886580e-14
3.996803e-15;4.514276e+00;6.649610e-02;1.820766e-14
3.996803e-15;4.555864e+00;1.145562e-01;7.549517e-15
3.996803e-15;2.390552e+00;2.966756e-02;7.549517e-15
4.440892e-16;3.282672e+00;5.678857e-02;7.549517e-15
4.440892e-16;2.176037e-14;6.092904e-15;3.996803e-15
4.440892e-16;4.299230e-01;4.299230e-03;3.996803e-15
4.440892e-16;4.232388e+00;9.281273e-02;3.996803e-15
4.440892e-16;4.396176e+00;8.482598e-02;4.440892e-16
4.440892e-16;1.929941e+00;1.949324e-02;4.440892e-16
