melhor;pior;media;mediana
13024907;-101451196892685;-9589193538273.64;14969637555164.145
13024907;-110086189476135;-15813283368388.885;20909357687188.383
13078938;-108286281358588;-19901282041012.94;23629347716098.45
13078938;-88506918815092;-21972557796722.82;21883149901296.117
13078938;-101045640834996;-20124121490779.016;22306476177085.395
13078938;-133469179453904;-20380154645329.95;21021956984741.582
13078938;-86945038349988;-20298132527516.645;21372972879939.133
13201923;-135792078898827;-20620948208459.504;22463873074361.473
13201923;-98059196796832;-19278493935780.01;21270113927428.074
13217025;-108086745861502;-21050391654802.824;20938820381034.24
13217025;-86730261936136;-19912323178696.01;20757796474140.88
13217025;-127563633436968;-22111729344119.22;21869486079105.836
13217025;-114307887213702;-22646487828381.24;24746304089556.91
13217025;-107575757398810;-22639255418356.99;21223206666657.324
13217025;-113804250286410;-21359139149631.9;21663367515034.44
13217025;-102213529053422;-21339074550676.895;22367498703547.242
13217025;-87815719222411;-23886452532338.453;20261985531658.473
13217025;-106311578736472;-23910266519103.246;22495396413147.312
13217025;-97981938392637;-23009101279258.273;21137845032844.844
13217025;-87434466639338;-23227790005217.94;21728596342585.074
13217025;-122057266519463;-24633459874124.504;23599959766174.656
13217025;-116576792755669;-25031149782889.2;24484686619057.324
13217025;-108721333885602;-24145286293522.715;24435329726105.9
13217025;-113559907589115;-24525948751982.39;26354810591581.145
13217025;-127096685037135;-25095487441055.06;23388232397217.684
13217025;-117131637430743;-24654561663965.61;23106030087679.84
13217025;-112020332540076;-22544643040251.926;21620044204597.883
13217025;-100667307254280;-24989316462311.25;24862803632681.367
13217025;-117298583428224;-25586157962536.71;25761286570247.902
13217025;-112327961542270;-27488056351650.45;24241828009099.64
13217025;-111543984820800;-27463947076893.05;25172739149265.582
13329979;-86353826458400;-23326794563466.87;21407177424184.215
13329979;-112709035199748;-23138677811939.89;23130687036633.285
13329979;-121384062120072;-21912877337344.36;24311484490797.297
13329979;-102405686912295;-21797672847698.82;24483982561172.055
13329979;-117958175315073;-24970469511152.766;24326872529555.0
13329979;-91819685777162;-22254745310634.625;21903202126832.695
13329979;-104156631699705;-18714701617526.516;21122527045086.664
13329979;-109996888805541;-21124148322740.344;21700156836578.883
13329979;-121151621777895;-23335806435017.17;24039828262571.293
13329979;-73648867228608;-18507856900594.516;19238637559089.637
13329979;-107455456563540;-19435078405544.84;21665064201491.254
13329979;-92452157750772;-22651423931467.83;23452228437176.62
13329979;-97617302263872;-22764590819863.305;24776729361173.645
13329979;-119256499163040;-23373423496244.426;23408891886583.664
13329979;-112892139711859;-23473524847782.65;22373582034596.797
13329979;-112776777991584;-22693234283583.32;21713275487900.53
13329979;-116250237993870;-19155914830317.18;21786076935647.547
13329979;-103471233904535;-21757624814445.195;22824212211459.83
13329979;-112304950149150;-23258405452037.664;22533235144799.184
13329979;-114938189436220;-24570985653088.57;23564938945656.375
13329979;-103932725253328;-23486839626859.95;23308322232852.23
13329979;-108254681385762;-22783304281503.754;22746310542826.555
13329979;-112952196288700;-23648467413351.266;23365149778118.062
13329979;-104722383077988;-23322686046802.2;23901035882802.664
13329979;-89663566432209;-20724770626871.81;20871536117133.95
13329979;-115111576949176;-23852783790628.07;22411872600893.895
13329979;-107067988081303;-23215875939801.535;23000645248443.09
13329979;-113767366185626;-22320956322749.84;22454138218931.773
13329979;-97525261649179;-22215654689180.89;23497596162874.223
13329979;-102292168453776;-21584964512150.453;22024408132937.703
13329979;-86148701173860;-19226914037031.504;20372978463680.004
13329979;-115099481531064;-18740717178979.4;21732584473033.72
13329979;-105018352453120;-20984604619445.2;23020487008255.35
13329979;-84232625978508;-19329387856967.82;20087195038318.44
13329979;-119688741085848;-21692209736405.5;23122574678259.94
13329979;-124005355548571;-22756411398013.266;22667006860003.67
13329979;-121108289942020;-22373494887418.91;25587586812642.496
13329979;-111986948277919;-24445712543792.49;22780352415422.79
13329979;-105384497812008;-23502046136645.645;23797824957351.164
13329979;-83251666227624;-23709081005370.996;23336526419375.38
13329979;-81276359289720;-20751198265489.785;21399856952636.664
13329979;-90914727404228;-18263667276044.426;19611454566641.25
13329979;-78857405561130;-21379192330511.35;20285608598714.883
13329979;-103762135704414;-22287982682753.76;22755128155050.707
13329979;-82420952739028;-22811180157898.49;22162514854075.824
13329979;-96041276787680;-23309583214727.965;22689544401583.156
13329979;-86992170745050;-22711157943950.64;21033173594371.88
13329979;-87761483608980;-21656144424479.06;22685257580840.594
13329979;-122061891857682;-20747200331505.49;22314420848652.09
13329979;-105509933754854;-18251898692072.734;20400786114316.785
13329979;-78691135028957;-18784787275780.97;18722527582645.9
13329979;-105514578197454;-18627092636109.8;19597352487065.547
